nama_sekolah,alamat,kecamatan,kondisi_lingkungan
SDN Cilincing 08 Pg.,Jl. Pedongkelan RT001/RW06,Cilincing,Padat/Kumuh
SDN Cipete Selatan 04 Pg.,"Komp. BRI, Jl. Anggur II",Cilandak,Padat/Kumuh
SDN Cipete Selatan 08 Pt.,"Komp. BRI, Jl. Anggur II",Cilandak,Padat/Kumuh
SDN Cipete Utara 05 Pg.,Jl. K. H. Naim III,Kebayoran Baru,Padat/Kumuh
SDN Cipete Utara 14 Pg.,Jl. K. H. Moch. Naim III No. 29,Kebayoran Baru,Padat/Kumuh
SDN Cipete Utara 15 Pg.,Jl. Sawo III No. 8,Kebayoran Baru,Padat/Kumuh
SDN Cipete Utara 16 Pg.,Jl. Sawo III No. 8,Kebayoran Baru,Padat/Kumuh
SDN Cipinang 03 Pg.,Jl. Cipinang Timur III No. 3,Pulo Gadung,Padat/Kumuh
SDN Cipinang 05 Pg.,Jl. Raya Bekasi Timur,Pulo Gadung,Padat/Kumuh
SDN Cipinang Besar Selatan 01 Pg.,"Jl. IPN, Cipinang Besar Selatan",Jatinegara,Padat/Kumuh
SDN Cipinang Besar Selatan 02 Pg.,Jl. IPN Kp. Jembatan,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Selatan 04 Pg.,Jl. Cipinang Jaya II No. 1,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Selatan 07 Pg.,Jl. Raya Jend. Basuki Rahmat No. 10,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Selatan 12 Pg.,Jl. TPU Kb. Nanas RT01/RW05,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Selatan 13 Pg.,Jl. Persatuan II,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Selatan 15 Pg.,Jl. Cipinang Jaya Gg. Ujung No. 15,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Selatan 16 Pg.,Jl. Pancawarga IV No. 8,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Selatan 17 Pg.,Jl. Pancawarga IV No. Gg. VIII,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Selatan 19 Pg.,Jl. Pancawarga I Gg. 16,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Utara 01 Pg.,Jl. Bekasi Timur IV No. 1,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Utara 02 Pt.,Jl. Bekasi Timur IV No. 1,Jatinegara,Padat/Kumuh
SDN Cipinang Besar Utara 07 Pt.,Jl. Cipinang Latihan RT03/RW10,Jatinegara,Padat/Kumuh
SDN Cipinang Cempedak 03 Pt.,Jl. Pedati Dalam RT14/RW07,Jatinegara,Padat/Kumuh
SDN Cipinang Cempedak 07 Pg.,Jl. Pedati Dalam,Jatinegara,Padat/Kumuh
SDN Cipinang Cempedak 08 Pt.,Jl. Pedati Dalam,Jatinegara,Padat/Kumuh
SDN Cipinang Muara 04 Pg.,Jl. BB I Cipinang Muara,Jatinegara,Padat/Kumuh
SDN Cipinang Muara 17 Pg.,Jl. Cipinang Muara III,Jatinegara,Padat/Kumuh
SDN Cipinang Muara 22 Pt.,Jl. Cipinang Lontar Indah,Jatinegara,Padat/Kumuh
SDN Cipulir 08 Pt.,Jl. Kebon Mangga I No. 29,Kebayoran Lama,Padat/Kumuh
SDN Cipulir 11 Pg.,Jl. Samudra I,Kebayoran Lama,Padat/Kumuh
SDN Ciracas 01 Pg.,Jl. Raya Bogor Km. 25,Ciracas,Padat/Kumuh
SDN Ciracas 02 Pt.,Jl. Raya Bogor Km. 25,Ciracas,Padat/Kumuh
SDN Ciracas 07 Pg.,Jl. Raya Centex Gg. Kramat,Ciracas,Padat/Kumuh
SDN Ciracas 10 Pg.,Jl. Raya Ciracas,Ciracas,Padat/Kumuh
SDN Ciracas 12 Pt.,Jl. Raya Ciracas,Ciracas,Padat/Kumuh
SDN Dukuh 07 Pt.,Jl. Dukuh V,Kramat Jati,Padat/Kumuh
SDN Duren Sawit 09 Pg.,Jl. Komp. IKIP No. 26,Duren Sawit,Padat/Kumuh
SDN Duren Sawit 14 Pg.,Jl. Cilungup II RT09/RW10,Duren Sawit,Padat/Kumuh
SDN Duri Kepa 07 Pg.,Jl. Ratu Alamanda,Kebon Jeruk,Padat/Kumuh
SDN Duri Pulo 01 Pg.,Jl. Setiakawan III No. 25,Gambir,Padat/Kumuh
SDN Duri Pulo 02 Pg.,Jl. Setiakawan III No. 25,Gambir,Padat/Kumuh
SDN Duri Pulo 03 Pg.,Jl. Setiakawan III No. 25,Gambir,Padat/Kumuh
