nama_sekolah,alamat,kecamatan,kondisi_lingkungan
SDN Kramat Jati 06 Pg.,Jl. Batu Tumbuh,Kramat Jati,Padat/Kumuh
SDN Kramat Jati 07 Pg.,Jl. RS Polri Sukanto,Kramat Jati,Padat/Kumuh
SDN Kramat Jati 11 Pg.,Jl. Nusa I,Kramat Jati,Padat/Kumuh
SDN Kramat Jati 12 Pg.,Jl. Nusa I,Kramat Jati,Padat/Kumuh
SDN Kramat Jati 13 Pg.,Jl. RS Polri Sukanto,Kramat Jati,Padat/Kumuh
SDN Kramat Jati 24 Pg.,Jl. Kerja Bakti,Kramat Jati,Padat/Kumuh
SDN Krukut 01 Pg.,Jl. K.H. Zainul Arifin No. 4,Taman Sari,Padat/Kumuh
SDN Krukut 04 Pt.,Jl. K.H. Zainul Arifin No. 4,Taman Sari,Padat/Kumuh
SDN Kuningan Barat 01 Pg.,Jl. PLN Kuningan Barat I,Mampang Prapatan,Padat/Kumuh
SDN Kuningan Barat 03 Pg.,Jl. PLN Kuningan Barat,Mampang Prapatan,Padat/Kumuh
SDN Kuningan Barat 05 Pg.,Jl. PLN Kuningan Barat,Mampang Prapatan,Padat/Kumuh
SDN Kwitang 02 Pt.,Jl. Kramat III Gg. Listrik I,S e n e n,Padat/Kumuh
SDN Lagoa 07 Pg.,Jl. Pramuka Gg. IV No. 15,K o j a,Padat/Kumuh
SDN Lagoa 08 Pt.,Jl. Pramuka Gg. IV No. 15,K o j a,Padat/Kumuh
SDN Lagoa 09 Pg.,Jl. D.I. Gg. IV Lagoa Terusan RT017/RW003,K o j a,Padat/Kumuh
SDN Lenteng Agung 05 Pg.,Jl. Agung Raya II,Jagakarsa,Padat/Kumuh
SDN Lenteng Agung 11 Pg.,Jl. Waspada II,Jagakarsa,Padat/Kumuh
SDN Lenteng Agung 12 Pt.,Jl. Waspada II,Jagakarsa,Padat/Kumuh
SDN Makasar 01 Pg.,Jl. Kerja Bakti,Makasar,Padat/Kumuh
SDN Mampang Prapatan 03 Pg.,Jl. Kapten Piere Tendean Gg. Kamboja No. 44,Mampang Prapatan,Padat/Kumuh
SDN Mampang Prapatan 04 Pt.,Jl. K. Tendean Gg. Kamboja No. 44,Mampang Prapatan,Padat/Kumuh
SDN Mampang Prapatan 05 Pg.,Jl. K. Tendean Gg. Kamboja No. 44,Mampang Prapatan,Padat/Kumuh
SDN Mampang Prapatan 06 Pt.,Jl. K. Tendean Gg. Kamboja No. 44,Mampang Prapatan,Padat/Kumuh
SDN Mangga Dua Selatan 01 Pg.,"Jl. Melawan Dalam No. 1, Mangga Dua Selatan",Sawah Besar,Padat/Kumuh
SDN Mangga Dua Selatan 02 Pt.,"Jl. Melawan Dalam No. 1, Mangga Dua Selatan",Sawah Besar,Padat/Kumuh
SDN Mangga Dua Selatan 03 Pg.,"Jl. Melawan Dalam No. 1, Mangga Dua Selatan",Sawah Besar,Padat/Kumuh
SDN Manggarai 06 Pt.,Jl. Swadaya I,T e b e t,Padat/Kumuh
SDN Manggarai 07 Pg.,Jl. Swadaya I,T e b e t,Padat/Kumuh
SDN Manggarai 11 Pg.,Jl. Manggarai Selatan II,T e b e t,Padat/Kumuh
SDN Manggarai 13 Pg.,Jl. Manggarai Selatan II,T e b e t,Padat/Kumuh
SDN Manggarai Selatan 03 Pg.,Jl. Sederhana I,T e b e t,Padat/Kumuh
SDN Maphar 02 Pg.,Jl. Kebun Jeruk VII No. 5,Taman Sari,Padat/Kumuh
SDN Menteng Atas 11 Pg.,Jl. Minangkabau Dalam,Setia Budi,Padat/Kumuh
SDN Menteng Atas 12 Pg.,Jl. Minangkabau Dalam,Setia Budi,Padat/Kumuh
SDN Menteng Atas 13 Pt.,Jl. Minangkabau Dalam,Setia Budi,Padat/Kumuh
SDN Menteng Atas 18 Pt.,Jl. Minangkabau Dalam,Setia Budi,Padat/Kumuh
SDN Menteng Atas 21 Pg.,Jl. Menteng Pulo Ujung,Setia Budi,Padat/Kumuh
SDN Meruya Utara 06 Pt.,Jl. Meruya Utara,Kembangan,Padat/Kumuh
SDN Meruya Utara 10 Pg.,Jl. Jomas RT002/RW05,Kembangan,Padat/Kumuh
SDN P Mangga Dua Selatan 05 Pg.,"Jl. Mangga Besar XIIIA, Mangga Dua Selatan",Sawah Besar,Padat/Kumuh
SDN Pademangan Barat 03 Pg.,Jl. Hidup Baru I No. 101,Pademangan,Padat/Kumuh
SDN Pademangan Barat 04 Pt.,Jl. Hidup Baru I No. 101,Pademangan,Padat/Kumuh
SDN Pademangan Barat 07 Pg.,Jl. Ampera VII,Pademangan,Padat/Kumuh
SDN Pademangan Barat 08 Pt.,Jl. Ampera VII,Pademangan,Padat/Kumuh
SDN Pademangan Barat 11 Pg.,Jl. Budimulia,Pademangan,Padat/Kumuh
SDN Pademangan Barat 12 Pg.,Jl. Hidup Baru I No. 101,Pademangan,Padat/Kumuh
SDN Pademangan Barat 13 Pt.,Jl. Hidup Baru I No. 101,Pademangan,Padat/Kumuh
SDN Pademangan Barat 14 Pt.,Jl. Budimulia,Pademangan,Padat/Kumuh
SDN Pademangan Timur 03 Pg.,Jl. Pademangan VI Gg. 34,Pademangan,Padat/Kumuh
SDN Pademangan Timur 04 Pt.,Jl. Pademangan VI Gg. 34,Pademangan,Padat/Kumuh
SDN Pademangan Timur 05 Pg.,Jl. Pademangan VI Gg. 34,Pademangan,Padat/Kumuh
SDN Pademangan Timur 07 Pt.,Jl. Pademangan VI Gg. 34,Pademangan,Padat/Kumuh
SDN Pademangan Timur 09 Pg.,Jl. Pademangan Timur VI No. 78,Pademangan,Padat/Kumuh
SDN Palmerah 13 Pg.,Jl. Palmerah Barat II,Palmerah,Padat/Kumuh
SDN Palmerah 14 Pg.,Jl. Palmerah Barat II,Palmerah,Padat/Kumuh
SDN Palmerah 25 Pg.,Jl. Kemanggisan Pulo,Palmerah,Padat/Kumuh
SDN Palmeriam 01 Pg.,Jl. Kayumanis I Lama,Matraman,Padat/Kumuh
SDN Palmeriam 02 Pt.,Jl. Kayumanis I Lama,Matraman,Padat/Kumuh
SDN Palmeriam 03 Pg.,Jl. Kayumanis I Lama,Matraman,Padat/Kumuh
SDN Pancoran 10 Pg.,Jl. Pancoran Barat VIII,Pancoran,Padat/Kumuh
SDN Papanggo 02 Pt.,Jl. Papanggo III No. 53,Tanjung Priok,Padat/Kumuh
SDN Papanggo 03 Pg.,Jl. Warakas I Gg. 25,Tanjung Priok,Padat/Kumuh
SDN Pasar Baru 09 Pg.,"Jl. Krekot Bunder III No. 1, Pasar Baru",Sawah Besar,Padat/Kumuh
SDN Pasar Manggis 01 Pg.,Jl. Menteng Granit VII,Setia Budi,Padat/Kumuh
SDN Pasar Manggis 02 Pt,Jl. Menteng Granit VII No. 5,Setia Budi,Padat/Kumuh
SDN Pasar Manggis 03 Pg.,Jl. Sawah Lunto No. 56,Setia Budi,Padat/Kumuh
SDN Pasar Minggu 03 Pg.,Jl. Mujair I Rawa Bambu,Pasar Minggu,Padat/Kumuh
SDN Paseban 01 Pg.,Jl. Kramat Sawah VI,S e n e n,Padat/Kumuh
SDN Paseban 02 Pg.,Jl. Kramat Sawah VI,S e n e n,Padat/Kumuh
SDN Paseban 03 Pg.,Jl. Kramat Sawah VI,S e n e n,Padat/Kumuh
SDN Paseban 09 Pg.,Jl. Salemba Tengah I No. 21,S e n e n,Padat/Kumuh
SDN Paseban 17 Pg.,Jl. H. Murthado VIII,S e n e n,Padat/Kumuh
SDN Pegadungan 02 Pg.,Jl. 20 Desember,Kalideres,Padat/Kumuh
SDN Pegadungan 04 Pg.,Jl. 20 Desember RT001/RW03,Kalideres,Padat/Kumuh
SDN Pegadungan 06 Pg.,Jl. Irigasi,Kalideres,Padat/Kumuh
SDN Pegadungan 10 Pt.,Jl. Irigasi Rawa Lele RT08/RW01,Kalideres,Padat/Kumuh
SDN Pegadungan 12 Pg.,Jl. Kumbang Raya Rawalele No. 54,Kalideres,Padat/Kumuh
SDN Pegangsaan 01 Pg.,Jl. Ampiun No. 1A,Menteng,Padat/Kumuh
SDN Pegangsaan 02 Pt.,Jl. Ampiun No. 1A,Menteng,Padat/Kumuh
SDN Pegangsaan Dua 01 Pg.,"Jl. Kepu, Pegangsaan Dua",Kelapa Gading,Padat/Kumuh
SDN Pegangsaan Dua 04 Pt.,"Jl. Kepu, Pegangsaan Dua No. 21",Kelapa Gading,Padat/Kumuh
SDN Pegangsaan Dua 08 Pg.,"Jl. Kompi Udin, Pegangsaan Dua",Kelapa Gading,Padat/Kumuh
SDN Pejagalan 04 Pt.,Jl. Raya Teluk Gong No. 160,Penjaringan,Padat/Kumuh
SDN Pejagalan 06 Pt.,"Teluk Gong, Jl. V",Penjaringan,Padat/Kumuh
SDN Pejagalan 11 Pg.,"Jl. Cenang I, Teluk Gong",Penjaringan,Padat/Kumuh
SDN Pejaten Timur 03 Pg.,Jl. Poltangan IV,Pasar Minggu,Padat/Kumuh
SDN Pejaten Timur 21 Pt.,Jl. Kemuning Dalam I,Pasar Minggu,Padat/Kumuh
SDN Pekayon 07 Pg.,Jl. Raya Bogor Km. 27,Pasar Rebo,Padat/Kumuh
SDN Pekojan 01 Pg.,Jl. Mesjid Pekojan No. 161-163,Tambora,Padat/Kumuh
SDN Pekojan 02 Pt.,Jl. Mesjid Pekojan No. 161-163,Tambora,Padat/Kumuh
SDN Pekojan 06 Pt.,Jl. Mesjid Pekojan No. 161-163,Tambora,Padat/Kumuh
SDN Pela Mampang 02 Pt.,Jl. Bangka II Gg. 5,Mampang Prapatan,Padat/Kumuh
SDN Pela Mampang 04 Pt.,"Jl. Bangka VIII RT07/RW12, Gg. Manggis",Mampang Prapatan,Padat/Kumuh
SDN Pela Mampang 07 Pg.,Jl. Bangka IX C No. 1,Mampang Prapatan,Padat/Kumuh
SDN Pela Mampang 08 Pg.,"Jl. Bangka VIII RT07/RW12, Gg. Manggis",Mampang Prapatan,Padat/Kumuh
SDN Pela Mampang 09 Pg.,"Jl. Bangka VIII , Gg. Manggis",Mampang Prapatan,Padat/Kumuh
SDN Pela Mampang 10 Pt.,"Jl. Bangka VIII RT07/RW12, Gg. Manggis",Mampang Prapatan,Padat/Kumuh
SDN Penjaringan 01 Pg.,Jl. Luar Batang V,Penjaringan,Padat/Kumuh
SDN Penjaringan 02 Pt.,Jl. Luar Batang V RT015/RW03,Penjaringan,Padat/Kumuh
SDN Penjaringan 03 Pg.,Jl. Raya Pluit Selatan 105,Penjaringan,Padat/Kumuh
SDN Penjaringan 04 Pg.,Jl. Raya Pluit Selatan No. 105,Penjaringan,Padat/Kumuh
SDN Penjaringan 05 Pt.,Jl. Raya Pluit Selatan No. 105,Penjaringan,Padat/Kumuh
SDN Penjaringan 06 Pg.,Jl. Bandengan Utara No. 80,Penjaringan,Padat/Kumuh
SDN Penjaringan 08 Pg.,Jl. Bandengan Utara No. 80,Penjaringan,Padat/Kumuh
SDN Penjaringan 09 Pt.,Jl. Bandengan Utara No. 80,Penjaringan,Padat/Kumuh
SDN Penjaringan 11 Pt.,Jl. Bandengan Utara No. 80,Penjaringan,Padat/Kumuh
SDN Penjaringan 12 Pt.,Jl. Raya Pluit Selatan No. 105,Penjaringan,Padat/Kumuh
SDN Petamburan 01 Pg.,Jl. Petamburan No. 4,Tanah Abang,Padat/Kumuh
SDN Petamburan 02 Pt.,Jl. Petamburan IV,Tanah Abang,Padat/Kumuh
SDN Petamburan 03 Pg.,Jl. Petamburan IV,Tanah Abang,Padat/Kumuh
SDN Petamburan 04 Pt.,Jl. Petamburan IV No. 52,Tanah Abang,Padat/Kumuh
SDN Petamburan 08 Pg.,Jl. Petamburan II No. 33,Tanah Abang,Padat/Kumuh
SDN Petojo Selatan 01 Pg.,Jl. Tanah Abang V No. 29,Gambir,Padat/Kumuh
SDN Petojo Selatan 02 Pg.,Jl. Tanah Abang V No. 29,Gambir,Padat/Kumuh
SDN Petojo Selatan 05 Pg.,Jl. Petojo Encek XIV No. 35,Gambir,Padat/Kumuh
SDN Petukangan Selatan 04 Pt.,Jl. Inpres,Pesanggrahan,Padat/Kumuh
SDN Petukangan Selatan 05 Pg.,Jl. Inpres RT0014/RW02,Pesanggrahan,Padat/Kumuh
SDN Pinang Ranti 01 Pg.,Jl. Taman Mini Pintu II,Makasar,Padat/Kumuh
SDN Pinang Ranti 03 Pt.,Jl. Asem Nirbaya,Makasar,Padat/Kumuh
SDN Pinang Ranti 06 Pt.,Jl. Pinang Ranti I,Makasar,Padat/Kumuh
SDN Pinangsia 03 Pg.,Jl. Jembatan Batu No. 49,Taman Sari,Padat/Kumuh
SDN Pinangsia 06 Pg.,Jl. Jembatan Batu No. 74,Taman Sari,Padat/Kumuh
SDN Pisangan Baru 05 Pg.,Jl. Pisangan Baru Tengah,Matraman,Padat/Kumuh
SDN Pisangan Baru 11 Pg.,Jl. Pisangan Baru I,Matraman,Padat/Kumuh
SDN Pisangan Timur 05 Pg.,Jl. Pisangan Lama Dalam I,Pulo Gadung,Padat/Kumuh
SDN Pisangan Timur 07 Pg.,Jl. Pisangan Lama Dalam I,Pulo Gadung,Padat/Kumuh
SDN Pisangan Timur 12 Pg.,Jl. Haji Mugeni II,Pulo Gadung,Padat/Kumuh
SDN Pisangan Timur 19 Pg.,Jl. Gading Raya I,Pulo Gadung,Padat/Kumuh
SDN Pluit 03 Pg.,Jl. Komp. Nelayan Muara Angke,Penjaringan,Padat/Kumuh
SDN Pluit 05 Pg.,Jl. Komp. Nelayan Muara Angke,Penjaringan,Padat/Kumuh
SDN Pondok Bambu 13 Pg.,Jl. Balai Rakyat III,Duren Sawit,Padat/Kumuh
SDN Pondok Kopi 01 Pg.,Jl. Bina Karya RT005/RW03,Duren Sawit,Padat/Kumuh
SDN Pondok Pinang 02 Pt.,Jl. Pondok Pinang Raya,Kebayoran Lama,Padat/Kumuh
SDN Pondok Pinang 05 Pg.,Jl. Ciputat Raya Gg. SD III,Kebayoran Lama,Padat/Kumuh
SDN Pulogadung 01 Pg.,Jl. Kemuning II,Pulo Gadung,Padat/Kumuh
SDN Pulogadung 03 Pg.,Jl. Kemuning II,Pulo Gadung,Padat/Kumuh
SDN Pulogadung 04 Pt.,Jl. Kemuning II,Pulo Gadung,Padat/Kumuh
SDN Pulogebang 06 Pg.,Jl. P. Komaruddin Ujung Krawang,Cakung,Padat/Kumuh
SDN Pulogebang 17 Pt.,Jl. Palad Rawa Kuning,Cakung,Padat/Kumuh
SDN Pulogebang 19 Pt.,Jl. Pendidikan RT009/RW05,Cakung,Padat/Kumuh
SDN Ragunan 04 Pt.,Jl. Warung Jati Barat,Pasar Minggu,Padat/Kumuh
SDN Rambutan 07 Pt.,Jl. H. M. Sabar No. 49,Ciracas,Padat/Kumuh
SDN Rawa Badak Selatan 07 Pg.,Jl. Mundari,K o j a,Padat/Kumuh
SDN Rawa Badak Selatan 08 Pt.,Jl. Mundari,K o j a,Padat/Kumuh
SDN Rawa Badak Selatan 09 Pg.,Jl. Mundari,K o j a,Padat/Kumuh
SDN Rawa Badak Selatan 10 Pt.,Jl. Mundari RT002/RW01,K o j a,Padat/Kumuh
SDN Rawa Badak Selatan 11 Pg.,Jl. Bendungan Melayu,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 04 Pt.,Jl. Alur Laut No. 37,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 05 Pg.,Jl. Rawa Binangun V No. 36,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 07 Pg.,Jl. Rawa Binangun III No. 17A,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 09 Pg.,Jl. Rawa Binangun III No. 17B,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 13 Pg.,Jl. Rawa Badak Barat No. 37,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 16 Pt.,Jl. Rawa Badak Barat No. 37,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 19 Pg.,Jl. Rawa Badak Barat No. 36,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 20 Pt.,Jl. Rawa Badak Barat No. 36,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 21 Pg.,Jl. F Gg. L No. 35,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 22 Pt.,Jl. F Gg. L No. 35,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 23 Pg.,Jl. F Gg. L RT02/RW02 No. 33,K o j a,Padat/Kumuh
SDN Rawa Badak Utara 24 Pt.,Jl. F Gg. L No. 33,K o j a,Padat/Kumuh
SDN Rawa Buaya 07 Pg.,Jl. Bojong Raya RT002/RW04,Cengkareng,Padat/Kumuh
SDN Rawa Bunga 01 Pg.,Jl. Bekasi Timur IX No. 4,Jatinegara,Padat/Kumuh
SDN Rawa Bunga 11 Pg.,Jl. Jatinegara Timur IV,Jatinegara,Padat/Kumuh
SDN Rawa Bunga 12 Pg.,Jl. Jatinegara Timur IV,Jatinegara,Padat/Kumuh
SDN Rawa Bunga 16 Pg.,Jl. Jatinegara Timur IV,Jatinegara,Padat/Kumuh
SDN Rawamangun 05 Pg.,"Jl. H Ten IV No.4 Rawamangun, Jakarta Timur",Pulo Gadung,Padat/Kumuh
SDN Rawamangun 06 Pt.,Jl. Haji Ten IV No. 4,Pulo Gadung,Padat/Kumuh
SDN Rawasari 05 Pg.,Jl. Pramukasari I,Cempaka Putih,Padat/Kumuh
SDN Rawaterate 01 Pg.,Jl. KRT. Wiryodiningrat,Cakung,Padat/Kumuh
SDN Rawaterate 02 Pt.,Jl. KRT. Widyodiningrat,Cakung,Padat/Kumuh
SDN Rawaterate 03 Pt.,Jl. DR. KRT. Widyodiningrat,Cakung,Padat/Kumuh
SDN Semanan 01 Pg.,Jl. Semanan Raya RT006/RW07,Kalideres,Padat/Kumuh
SDN Semanan 04 Pg.,Jl. Kp. Gaga,Kalideres,Padat/Kumuh
SDN Semanan 06 Pg.,Jl. Raya Semanan RT004/RW08,Kalideres,Padat/Kumuh
SDN Semanan 10 Pt.,Jl. Kp. Gaga,Kalideres,Padat/Kumuh
SDN Semanan 11 Pt.,Jl. Kp. Gaga,Kalideres,Padat/Kumuh
SDN Semper Barat 01 Pg.,Jl. Raya Tugu Semper No. 1,Cilincing,Padat/Kumuh
SDN Semper Barat 05 Pg.,Jl. F Kebon Baru No. 27,Cilincing,Padat/Kumuh
SDN Semper Barat 07 Pg.,Jl. Pepaya V No. 20,Cilincing,Padat/Kumuh
SDN Semper Barat 08 Pt.,Jl. Pepaya V No. 20,Cilincing,Padat/Kumuh
SDN Semper Barat 12 Pt.,Jl. Kapuas Raya Rt. 006/ 01,Cilincing,Padat/Kumuh
SDN Serdang 07 Pg.,Jl. Kp. Irian II No. 24,Kemayoran,Padat/Kumuh
SDN Serdang 09 Pg.,"Jl. Kp. Irian II No. 24, Serdang",Kemayoran,Padat/Kumuh
SDN Slipi 11 Pg.,Jl. Z Slipi Dalam RT11/RW02,Palmerah,Padat/Kumuh
SDN Slipi 12 Pg.,Jl. Z Slipi Dalam,Palmerah,Padat/Kumuh
SDN Sukapura 02 Pg.,Jl. Kompi Jenggot No. 28,Cilincing,Padat/Kumuh
SDN Sukapura 03 Pt.,Jl. Kompi Jenggot No. 28,Cilincing,Padat/Kumuh
SDN Sukapura 05 Pg.,"Jl. Tipar RT007/RW04, Cakung",Cilincing,Padat/Kumuh
SDN Sumur Batu 04 Pg.,Jl. Sumur Batu Utara No. 2,Kemayoran,Padat/Kumuh
SDN Sumur Batu 06 Pg.,Jl. Sumur Batu Utara No. 2,Kemayoran,Padat/Kumuh
SDN Sumur Batu 08 Pg.,Jl. Sumur Batu Utara No. 2,Kemayoran,Padat/Kumuh
SDN Sumur Batu 10 Pg.,Jl. Sumur Batu Utara No. 2,Kemayoran,Padat/Kumuh
SDN Sungai Bambu 03 Pg.,Jl. Gadang No. 52,Tanjung Priok,Padat/Kumuh
SDN Sungai Bambu 06 Pt.,Jl. Sungai Bambu III No. 34,Tanjung Priok,Padat/Kumuh
SDN Sunter Agung 01 Pg.,Jl. Ancol Selatan I No. 1,Tanjung Priok,Padat/Kumuh
SDN Sunter Agung 02 Pt.,Jl. Ancol Selatan I No. 1,Tanjung Priok,Padat/Kumuh
SDN Sunter Agung 10 Pt.,Jl. Sunter Permai Raya No. 21,Tanjung Priok,Padat/Kumuh
SDN Sunter Jaya 01 Pg.,Jl. Sunter Jaya IV A,Tanjung Priok,Padat/Kumuh
SDN Sunter Jaya 02 Pt.,Jl. Sunter Jaya IV A,Tanjung Priok,Padat/Kumuh
SDN Sunter Jaya 07 Pg.,Jl. Sunter Jaya VI No. 31,Tanjung Priok,Padat/Kumuh
SDN Sunter Jaya 08 Pt.,Jl. Sunter Jaya VI No. 31,Tanjung Priok,Padat/Kumuh
SDN Susukan 01 Pg.,Jl. Makmur IV,Ciracas,Padat/Kumuh
SDN Susukan 02 Pg.,Jl. Makmur IV RT009/RW02,Ciracas,Padat/Kumuh
SDN Susukan 07 Pg.,Jl. Tanah Merdeka,Ciracas,Padat/Kumuh
SDN Susukan 13 Pt.,Jl. Makmur IV RT009/RW02,Ciracas,Padat/Kumuh
SDN Taman Sari 01 Pg.,Jl. Taman Sari X No. 17A,Taman Sari,Padat/Kumuh
SDN Tambora 02 Pt.,Jl. Perniagaan No. 31,Tambora,Padat/Kumuh
SDN Tanah Sereal 02 Pt.,Jl. Pekapuran Raya No. 66,Tambora,Padat/Kumuh
SDN Tanah Sereal 03 Pg.,Jl. TANAH SEREAL XIII No. 25,Tambora,Padat/Kumuh
SDN Tanah Sereal 04 Pt.,Jl. Tanah Sereal XIII No. 25,Tambora,Padat/Kumuh
SDN Tanah Tinggi 01 Pg.,"Jl. Tanah Tinggi I Gg. II, Johar Baru",Johar Baru,Padat/Kumuh
SDN Tanah Tinggi 02 Pt.,Jl. Tanah Tinggi I Gg. II,Johar Baru,Padat/Kumuh
SDN Tanah Tinggi 03 Pg.,Jl. Tanah Tinggi II No. 8,Johar Baru,Padat/Kumuh
SDN Tanah Tinggi 05 Pg.,Jl. Tanah Tinggi II No. 8,Johar Baru,Padat/Kumuh
SDN Tanah Tinggi 06 Pt.,Jl. Tanah Tinggi II No. 8,Johar Baru,Padat/Kumuh
SDN Tanah Tinggi 07 Pg.,Jl. Tanah Tinggi II No. 8,Johar Baru,Padat/Kumuh
SDN Tanah Tinggi 09 Pg.,Jl. Kramat Pulo Gundul III,Johar Baru,Padat/Kumuh
SDN Tanah Tinggi 11 Pg.,Jl. Tanah Tinggi I Gg. II,Johar Baru,Padat/Kumuh
SDN Tanjung Priok 01 Pg.,Jl. Yos Sudarso Edam II No. 13,Tanjung Priok,Padat/Kumuh
SDN Tanjung Priok 02 Pg.,Jl. RE. Martadinata Gg.Samudera IX,Tanjung Priok,Padat/Kumuh
SDN Tanjung Priok 04 Pg.,Jl. Kp. Bahari Gg. II Ujung,Tanjung Priok,Padat/Kumuh
SDN Tanjung Priok 05 Pt.,Jl. Kp. Bahari Gg. II Ujung,Tanjung Priok,Padat/Kumuh
SDN Tegal Alur 05 Pg.,Jl. Menceng Raya,Kalideres,Padat/Kumuh
SDN Tegal Alur 10 Pg.,Jl. Kapuk Kamal Raya,Kalideres,Padat/Kumuh
SDN Tegal Alur 14 Pt.,Jl. Kapuk Kamal,Kalideres,Padat/Kumuh
SDN Tegal Alur 15 Pg.,Jl. Kayu Besar,Kalideres,Padat/Kumuh
SDN Tegal Alur 16 Pt.,Jl. Pelopor Raya RT011/RW05,Kalideres,Padat/Kumuh
SDN Tegal Alur 20 Pt.,Jl. Kayu Besar RT001/RW02,Kalideres,Padat/Kumuh
SDN Tegal Alur 21 Pt.,Jl. Lingkungan III RT001/RW03,Kalideres,Padat/Kumuh
SDN Tegal Parang 05 Pg.,Jl. Mampang Prapatan VI No. 36,Mampang Prapatan,Padat/Kumuh
SDN Tegal Parang 07 Pg.,Jl. Mampang Prapatan Selatan VI Gg. BBI No. 36,Mampang Prapatan,Padat/Kumuh
SDN Tugu Selatan 01 Pg.,Jl. Balai Rakyat No. 17,K o j a,Padat/Kumuh
SDN Tugu Selatan 03 Pg.,Jl. Balai Rakyat No. 19,K o j a,Padat/Kumuh
SDN Tugu Utara 09 Pg.,"Komp. UKA, Jl. Mahoni Ujung",K o j a,Padat/Kumuh
SDN Tugu Utara 10 Pg.,"Komp. UKA No. 8, Jl. Kramat Jaya",K o j a,Padat/Kumuh
SDN Tugu Utara 11 Pg.,"Komp. UKA, Jl. Kramat Jaya",K o j a,Padat/Kumuh
SDN Tugu Utara 12 Pg.,"Komp. UKA, Jl. Kramat Jaya",K o j a,Padat/Kumuh
SDN Tugu Utara 13 Pg.,Jl. Kramat Jaya Gg. VIII Blok R,K o j a,Padat/Kumuh
SDN Tugu Utara 17 Pg.,Jl. Kramat Jaya Gg. VIII Blok R,K o j a,Padat/Kumuh
SDN Tugu Utara 20 Pt.,Jl. Kramat Jaya Gg. VIII Blok R,K o j a,Padat/Kumuh
SDN Tugu Utara 22 Pg.,"Komp. Deperla, Jl. Kramat Jaya",K o j a,Padat/Kumuh
SDN Utan Kayu Selatan 02 Pt.,Jl. Pandan Raya,Matraman,Padat/Kumuh
SDN Utan Kayu Selatan 09 Pg.,Jl. Skip Ujung,Matraman,Padat/Kumuh
SDN Utan Kayu Selatan 27 Pg.,Jl. Skip Ujung,Matraman,Padat/Kumuh
SDN Utan Kayu Utara 07 Pg.,Jl. Galur Sari,Matraman,Padat/Kumuh
SDN Utan Kayu Utara 11 Pg.,Jl. Balai Rakyat Raya No. 11,Matraman,Padat/Kumuh
SDN Utan Panjang 02 Pt.,Jl. Bendungan Jago,Kemayoran,Padat/Kumuh
SDN Utan Panjang 04 Pt.,Jl. Bendungan Jago,Kemayoran,Padat/Kumuh
SDN Warakas 03 Pg.,Jl. Warakas I Gg. 20,Tanjung Priok,Padat/Kumuh
SDN Warakas 05 Pg.,Jl. Warakas I Gg. 20,Tanjung Priok,Padat/Kumuh
SDN Warakas 06 Pt.,Jl. Warakas I Gg. 20,Tanjung Priok,Padat/Kumuh
SDN Warakas 07 Pg.,Jl. Warakas I Gg. 20,Tanjung Priok,Padat/Kumuh
SDN Warakas 08 Pt.,Jl. Warakas I Gg. 20,Tanjung Priok,Padat/Kumuh
SDS Al Badar,Jl. Menteng Sukabumi IV No. 75,Menteng,Padat/Kumuh
SDS Al Ikhlash,Jl. Dewi Sartika No. 200,Kramat Jati,Padat/Kumuh
SDS Al-Hayati Diniyah,Jl. Masjid Al Muqarrobin,Makasar,Padat/Kumuh
SDS Al-Ikhlas,Jl. IV D.I No. 26,K o j a,Padat/Kumuh
SDS Al-Mukhlisin,Jl. Pedongkelan No. 46,Cengkareng,Padat/Kumuh
SDS Arruhaniyah II,Jl. Papanggo I Blok D No. 59,Tanjung Priok,Padat/Kumuh
SDS As Salam,Jl. Cempaka Wangi III,Kemayoran,Padat/Kumuh
SDS As Shomadiyah,Jl. Daan Mogot Km. 18,Kalideres,Padat/Kumuh
SDS Aulia,Jl. Pasar Timbul,Cengkareng,Padat/Kumuh
SDS Ayah Bunda,Jl. Muara Bahari No. 34,Tanjung Priok,Padat/Kumuh
SDS Az Zahrah,"Jl. Inspeksi Cakung Drain Blok E, Semper Timur",Cilincing,Padat/Kumuh
SDS Baitul Khair,Jl. Kebon Pala I,Jatinegara,Padat/Kumuh
SDS Bhineka Tunggal Ika,Jl. K.H.M. Mansyur No. 222A,Tambora,Padat/Kumuh
SDS Bintang Pancasila,Jl. Muara Baru Ujung,Penjaringan,Padat/Kumuh
SDS Budaya,Jl. Duri Utara III No. 35,Tambora,Padat/Kumuh
SDS Budi Bahasa,Jl. Kali Anyar IV No. 1,Tambora,Padat/Kumuh
SDS Cahaya Islam,Jl. Percetakan Negara I No. L-25,Johar Baru,Padat/Kumuh
