nama_sekolah,alamat,akreditasi
SDN Jatinegara 06 Pg.,"DR. KRT. Radjiman Widyodiningrat, Pulo Jahe",A
SDN Jatinegara 07 Pg.,Jl. Swadaya IV,A
SDN Jatinegara 08 Pg.,Jl. Buaran I,A
SDN Jatinegara 09 Pg.,Kp. Buaran I RT006/RW08,A
SDN Jatinegara 10 Pg.,Jl. Raya Bekasi Km. 17,A
SDN Jatinegara 11 Pt.,Jl. Swadaya IV Kp. Pulo Jahe,A
SDN Jatinegara 12 Pt.,Jl. Radjiman Widyodiningrat Pulo Jahe,A
SDN Jatinegara 14 Pt.,Kp. Buaran I,A
SDN Jatinegara 15 Pg.,Jl. Dr. KRT. Radjiman Widyodiningrat Kp. Rawa Badung,A
SDN Jatinegara Kaum 01 Pg.,Jl. Raya Bekasi Km. 18,A
SDN Jatinegara Kaum 06 Pg.,Jl. Tanah Koja II,A
SDN Jelambar 03 Pg.,Jl. Empang Bahagia X,A
SDN Jelambar 08 Pg.,Jl. Hadiah No. 11-13,A
SDN Jelambar Baru 01 Pg.,Jl. Jelambar Barat II-E,A
SDN Jelambar Baru 03 Pg.,Jl. Jelambar Selatan XVI,A
SDN Jelambar Baru 05 Pg.,Jl. Jelambar Selatan XVI,A
SDN Jelambar Baru 06 Pt.,Jl. Jelambar Selatan XVI,A
SDN Jelambar Baru 07 Pg.,Jl. Sukajaya I,A
SDN Jelambar Baru 08 Pt.,Jl. Sukajaya I RT008/RW01,A
SDN Jelambar Baru 09 Pg.,Jl. Sukajaya I,A
SDN Jembatan Besi 01 Pg.,Jl. Jembatan Besi IX No. 31,A
SDN Jembatan Lima 01 Pg.,Jl. K.H. Moh. Mansyur II Sawah Lio Gg. 2 No. 8A,A
SDN Jembatan Lima 03 Pg.,Jl. K.H. Moh. Mansyur II,A
SDN Jembatan Lima 04 Pt.,Jl. K.H. Moh. Mansyur II,A
SDN Joglo 05 Pg.,Jl. Komp. DKI Joglo,A
SDN Joglo 06 Pg.,Jl. Lapangan Merah,A
SDN Joglo 08 Pg.,Komp. Pemadam,A
SDN Joglo 09 Pg.,Jl. AMD Joglo RT011/RW06,A
SDN Joglo 10 Pg.,Jl. Raya Joglo,A
SDN Joglo 11 Pg.,Jl. AMD Joglo,A
SDN Johar Baru 01 Pg.,Jl. Percetakan Negara IV No. 8,A
SDN Johar Baru 07 Pg.,Jl. Percetakan Negara II,A
SDN Johar Baru 09 Pg.,Jl. Mardani Raya,A
SDN Johar Baru 17 Pg.,Jl. Kramat Jaya Gg. VIII,A
SDN Johar Baru 19 Pg.,Jl. Kramat Jaya Gg. VIII,A
SDN Johar Baru 31 Pg.,Jl. Mardani Raya No.12A,A
SDN Kali Anyar 01 Pg.,Jl. Kali Anyar IV Gg. I No. 1,A
SDN Kali Baru 01 Pg.,Jl. Kalibaru Timur IV,A
SDN Kali Baru 05 Pg.,Jl. Kalibaru Barat IV No. 60,A
SDN Kali Baru 06 Pt.,Jl. Kalibaru Barat IV No. 60,A
SDN Kali Baru 07 Pg.,Jl. Kalibaru Barat IV No. 60,A
SDN Kali Baru 08 Pt.,Jl. Tanah Merdeka No. 60,A
SDN Kali Baru 09 Pg.,Jl. Kalibaru Timur VII No. 5,A
SDN Kalibata 01 Pg.,"Komp. Pomad, Jl. Dharma",A
SDN Kalibata 02 Pt.,"Komp. Pomad, Jl. Dharma",A
SDN Kalibata 03 Pg.,"Komp. Garuda, Jl. Raya Pasar Minggu",A
SDN Kalibata 04 Pg.,Jl. Kalibata Timur IV Blok E,A
SDN Kalibata 09 Pg.,"Komp. Pomad, Jl. Dharma",A
SDN Kalibata 11 Pg.,Jl. Kalibata Tengah,A
SDN Kalideres 01 Pg.,Jl. Peta Selatan RT07/RW01 No. 29,A
SDN Kalideres 02 Pt.,Jl. Peta Selatan RT07/RW01,A
SDN Kalideres 03 Pg.,Jl. Peta Selatan RT07/RW01 No. 29,A
SDN Kalideres 04 Pt.,Jl. Peta Selatan RT07/RW01 No. 29,A
SDN Kalideres 06 Pg.,Jl. Peta Barat Rawalele,A
SDN Kalideres 07 Pg.,Jl. Peta Selatan No. 7B,A
SDN Kalideres 10 Pg.,"Jl. Daan Mogot Km. 15,6",A
SDN Kalideres 12 Pg.,Jl. Peta Timur,A
SDN Kalideres 14 Pt.,Jl. Peta Barat,A
SDN Kalisari 01 Pg.,Jl. Raya Kalisari No. 3,A
SDN Kalisari 02 Pg.,Jl. Raya Cijantung IV,A
SDN Kalisari 03 Pg.,As. Yon. Kav. I Tank Cijantung IV,A
SDN Kalisari 04 Pg.,Jl. Raya Kalisari,A
SDN Kalisari 05 Pg.,Jl. Raya Kalisari,A
SDN Kalisari 06 Pt.,Asrama Yon Kav I Cijantung IV,A
SDN Kalisari 07 Pg.,Jl. Raya Kalisari,A
SDN Kalisari 08 Pt.,Jl. Raya Kalisari,A
SDN Kalisari 10 Pt.,Jl. Raya Kalisari RT006/RW02,A
SDN Kamal 01 Pg.,Jl. Kebon Dua Ratus RT03/RW06,A
SDN Kamal 02 Pg.,Jl. Kebon Dua Ratus RT05/RW06,A
SDN Kamal 03 Pg.,Jl. Kampung Belakang,A
SDN Kamal 04 Pg.,Jl. Kampung Belakang,A
SDN Kamal 05 Pg.,Jl. Bakti Pramuka No. 54,A
SDN Kamal 06 Pg.,Jl. Bakti Pramuka Rawabebek,A
SDN Kamal 07 Pg.,Jl. Prepedan,A
SDN Kamal 09 Pg.,Jl. Kp. Belakang,A
SDN Kamal Muara 01 Pg.,Jl. Raya Kamal Pantai No. 5,A
SDN Kamal Muara 02 Pg.,Jl. Kamal Pantai No. 5,A
SDN Kampung Melayu 01 Pg.,Jl. Kb. Pala I No. 34,A
SDN Kampung Melayu 02 Pt.,Jl. Kb. Pala I No. 34,A
SDN Kampung Rawa 01 Pg.,Jl. Rawa Selatan III,A
SDN Kampung Tengah 01 Pg.,Jl. Inpres No. 64,A
SDN Kampung Tengah 02 Pg.,Jl. Inpres No. 64,A
SDN Kampung Tengah 06 Pg.,Jl. Haji Ali,A
SDN Kampung Tengah 07 Pg.,Jl. Trikora IV,A
SDN Kampung Tengah 08 Pg.,Jl. Pasar Induk,A
SDN Kampung Tengah 09 Pg.,Jl. Haji Ali,A
SDN Kampung Tengah 10 Pg.,Jl. Trikora IV,A
SDN Kapuk 02 Pg.,"Komp. Cengkareng Indah, Jl. Tenis Raya",A
SDN Kapuk 03 Pg.,Jl. Kapuk Raya No. 48A,A
SDN Kapuk 05 Pg.,Jl. Kapuk Raya Gg. Mawar,A
SDN Kapuk 06 Pg.,Jl. Tenis Raya,A
SDN Kapuk 09 Pg.,Jl. Ukir II Pedongkelan RT005/RW06,A
SDN Kapuk 10 Pt.,"Jl. Ukir II Pedongkelan, Kapuk",A
SDN Kapuk 12 Pt.,Jl. Kapuk Raya No. 48A,A
SDN Kapuk 13 Pt.,Jl. Raya Ukir,A
SDN Kapuk 15 Pg.,Jl. Kapuk AMD,A
SDN Kapuk 16 Pg.,Jl. Kapuk AMD,A
SDN Kapuk Muara 01 Pg.,Jl. Raya Kpk Muara No. 9,A
SDN Kapuk Muara 02 Pt.,Jl. Raya Kapuk Muara RT10/RW04,A
SDN Kapuk Muara 05 Pg.,Jl. SMPN 122,A
SDN Kapuk Muara 06 Pt.,Jl. SMP 122,A
SDN Karang Anyar 08 Pg.,"Pasar, Jl. B III, Karang Anyar",A
SDN Karet Tengsin 09 Pg.,Jl. Karet Pasar Baru Barat VII,A
SDN Karet Tengsin 13 Pg.,Jl. Karet Pasar Baru Barat I,A
SDN Karet Tengsin 14 Pt.,Jl. Karet Pasar Baru Barat I No. 16,A
SDN Karet Tengsin 15 Pg.,Jl. Karet Pasar Baru Barat IV,A
SDN Karet Tengsin 16 Pg.,Jl. Karet Pasar Baru Barat IV No. 7,A
SDN Karet Tengsin 21 Pg.,Jl. Masjid I,A
SDN Kayu Putih 01 Pg.,Jl. Kunci No. 28,A
SDN Kayu Putih 08 Pg.,Jl. Batu Sulaeman No. 2,A
SDN Kayu Putih 09 Pg.,Jl. Pulo Mas Barat V No. 4,A
SDN Keagungan 03 Pg.,Jl. Kerajinan No. 44,A
SDN Keagungan 05 Pg.,Jl. Kerajinan No. 44,A
SDN Keb. Lama Selatan 01 Pg.,Jl. Ciputat Raya,A
SDN Keb. Lama Selatan 02 Pt.,Jl. Ciputat Raya,A
SDN Keb. Lama Selatan 07 Pg.,"Komp. Kostrad No. 23, Jl. Dharma Putra Raya",A
SDN Keb. Lama Selatan 09 Pg.,Jl. Moh. Ismail No. 3,A
SDN Keb. Lama Selatan 10 Pt.,Jl. Moh. Ismail,A
SDN Keb. Lama Selatan 11 Pg.,Jl. Moh. Ismail No. 60,A
SDN Keb. Lama Selatan 12 Pg.,"Jl. Komp. Bina Marga, Tanah Kusir",A
SDN Keb. Lama Selatan 13 Pg.,"Jl. Komp. Bina Marga, Tanah Kusir",A
SDN Keb. Lama Selatan 14 Pg.,Jl. Bungur II Kampung Dukuh,A
SDN Keb. Lama Selatan 19 Pg.,"Komp. Kostrad, Jl. Dharma Putra Raya No. 51",A
SDN Keb. Lama Utara 03 Pg.,Jl. Ciputat Raya,A
SDN Keb. Lama Utara 07 Pg.,Jl. Bendi VIII No. 10,A
SDN Keb. Lama Utara 09 Pg.,Jl. Delman Asri IX No. 15,A
SDN Keb. Lama Utara 10 Pt.,Jl. Delman Asri IX,A
SDN Keb. Lama Utara 12 Pg.,Jl. Raya Delman Peninggaran,A
SDN Keb. Lama Utara 13 Pg.,Jl. Peninggalan Barat III,A
SDN Kebagusan 01 Pg.,Kebagusan Raya RT04/RW07,A
SDN Kebagusan 02 Pg.,Jl. Kebagusan RT003/RW06,A
SDN Kebagusan 03 Pg.,Jl. Baung No. 31,A
SDN Kebagusan 04 Pg.,Jl. Kebagusan IV Dalam,A
SDN Kebagusan 05 Pt.,Jl. Kebagusan Raya,A
SDN Kebon Baru 01 Pg.,Jl. Asem Baris Raya II No. 8,A
SDN Kebon Baru 03 Pg.,Jl. Kp. Dalam Barat VI No. 3,A
SDN Kebon Baru 05 Pg.,Jl. Gudang Peluru Blok F,A
SDN Kebon Baru 07 Pg.,Jl. Asem Baris II,A
SDN Kebon Baru 09 Pg.,Jl. Asem Baris II,A
SDN Kebon Bawang 01 Pg.,Jl. Kebon Bawang XIII,A
SDN Kebon Bawang 02 Pt.,Jl. Kebon Bawang XIII,A
SDN Kebon Bawang 03 Pg.,Jl. Kebon Bawang XIII,A
SDN Kebon Bawang 04 Pt.,Jl. Kebon Bawang XIII,A
SDN Kebon Bawang 05 Pg.,Jl. Swasembada Barat II,A
SDN Kebon Bawang 06 Pg.,Jl. Swasembada Barat II,A
SDN Kebon Bawang 08 Pt.,Jl. Kebon Bawang XIII No. 15,A
SDN Kebon Jeruk 01 Pg.,Jl. Raya Kebon Jeruk No. 41,A
SDN Kebon Jeruk 02 Pg.,"Komp. Kodam, Jl. Seruni",A
SDN Kebon Jeruk 06 Pg.,Jl. H. Marzuki No. 73,A
SDN Kebon Jeruk 07 Pg.,"Komp. Kebon Jeruk Baru, Jl. H. Marzuki",A
SDN Kebon Jeruk 08 Pg.,Jl. Raya Kebon Jeruk No. 41,A
SDN Kebon Jeruk 10 Pg.,Jl. C No. 45,A
SDN Kebon Jeruk 11 Pg.,Jl. Kebon Jeruk,A
SDN Kebon Jeruk 15 Pg.,Jl. Anggrek Cakra,A
SDN Kebon Jeruk 16 Pg.,Jl. Anggrek Cakra,A
SDN Kebon Jeruk 17 Pg.,Jl. Kemiri RT002/RW02,A
SDN Kebon Kacang 05 Pg.,Jl. Kebon Kacang XI No. 48,A
SDN Kebon Kosong 01 Pg.,Jl. Kemayoran Gempol Galindra,A
SDN Kebon Kosong 03 Pg.,Jl. Dakota IV,A
SDN Kebon Kosong 13 Pg.,Jl. Ketapang Baru II,A
SDN Kebon Kosong 19 Pg.,Jl. Ketapang Baru III,A
SDN Kebon Manggis 01 Pg.,Jl. Slamet Riyadi II No. 7B,A
SDN Kebon Manggis 03 Pg.,Jl. Slamet Riyadi II No. 7B,A
SDN Kebon Manggis 11 Pg.,Jl. Kesatrian VIII No. 28H,A
SDN Kebon Manggis 12 Pt.,Jl. Kesatrian VIII No. 28H,A
SDN Kebon Manggis 14 Pg.,Jl. Slamet Riyadi II No. 7B,A
SDN Kebon Melati 01 Pg.,Jl. Sabeni No. 12,A
SDN Kebon Melati 02 Pg.,Jl. Sabeni No. 12,A
SDN Kebon Melati 03 Pg.,Jl. Sabeni No. 12,A
SDN Kebon Pala 01 Pg.,Jl. Cakrawala No. 01,A
SDN Kebon Pala 02 Pg.,Jl. Cakrawala No. 01,A
SDN Kebon Pala 03 Pg.,Jl. Jengki Cipinang Asem No. 1,A
SDN Kebon Pala 04 Pg.,Jl. Jengki Cipinang Asem No. 4,A
SDN Kebon Pala 05 Pg.,Jl. Jengki Cipinang Asem No. 2,A
SDN Kebon Pala 06 Pt.,Jl. Jengki Cipinang Asem No. 3,A
SDN Kebon Pala 07 Pg.,Jl. Permata Gg. Sami,A
SDN Kebon Pala 09 Pg.,Jl. Permata Gg. Sami,A
SDN Kebon Pala 10 Pt.,Jl. Permata Gg. Sami,A
SDN Kebon Pala 13 Pg.,Jl. SD Inpres No. 28,A
SDN Kebon Pala 14 Pg.,Jl. SD Inpres,A
SDN Kebon Pala 15 Pg.,Jl. SD Inpres,A
SDN Kedaung Kali Angke 03 Pg.,Komp. Dep. Agama Kalimati,A
SDN Kedaung Kali Angke 04 Pt.,Jl. Tawang Mangu,A
SDN Kedaung Kali Angke 05 Pg,Jl. Tawang Mangu No. 41,A
SDN Kedaung Kali Angke 08 Pg.,Komp. Departemen Agama,A
SDN Kedaung Kali Angke 09 Pt.,Komp. Dep. Agama Kalimati,A
SDN Kedaung Kali Angke 10 Pg.,Jl. Tawang Mangu RT009/RW06,A
SDN Kedaung Kali Angke 11 Pg.,Jl. Tawang Mangu,A
SDN Kedaung Kali Angke 13 Pg.,Komp. Dep. Agama Kalimati,A
SDN Kedaung Kali Angke 14 Pg.,Jl. Zamrud,A
SDN Kedaung Kali Angke 15 Pg.,Jl. Zamrud,A
SDN Kedoya Selatan 01 Pg.,Jl. Raya Kedoya Pilar,A
SDN Kedoya Selatan 03 Pg.,Jl. Raya Kedoya Pilar,A
SDN Kedoya Selatan 04 Pg.,Jl. Pilar Baru RT005/RW03,A
SDN Kedoya Utara 02 Pt.,Jl. Raya Kedoya,A
SDN Kedoya Utara 04 Pg.,Jl. Raya Kedoya Utara RT11/RW7,A
SDN Kedoya Utara 05 Pg.,Jl. Raya Kedoya Utara RT11/RW7,A
SDN Kedoya Utara 09 Pg.,Jl. Kedoya Pesing,A
SDN Kedoya Utara 10 Pg.,Jl. Kedoya Pesing Koneng,A
SDN Kelapa Dua 01 Pg.,Jl. Raya Kelapa Dua,A
SDN Kelapa Dua 03 Pg.,Jl. Inpres RT004/RW05,A
SDN Kelapa Dua 04 Pg.,Jl. Inpres RT004/RW05,A
SDN Kelapa Dua 05 Pg.,Jl. Lada,A
SDN Kelapa Dua Wetan 01 Pg.,Jl. Raya Kelapa Dua Wetan,A
SDN Kelapa Dua Wetan 02 Pg.,Jl. Raya Kelapa Dua Wetan,A
SDN Kelapa Dua Wetan 03 Pg.,Jl. Masjid Nurul Hidayah,A
SDN Kelapa Dua Wetan 05 Pt.,Jl. Raya Kelapa Dua Wetan,A
SDN Kelapa Dua Wetan 06 Pt.,Jl. Masjid Nurul Hidayah,A
SDN Kelapa Gading Bar. 01 Pg.,Jl. P. Tomiang I-K TNI AL,A
SDN Kelapa Gading Tim. 01 Pg.,Jl. Puskesmas No. 32,A
SDN Kemanggisan 03 Pg.,"Jl. Anggrek Garuda Blok E, Slipi",A
SDN Kemanggisan 05 Pg.,"Jl. Anggrek Garuda Blok E, Slipi",A
SDN Kemanggisan 06 Pg.,"Jl. Anggrek Garuda Blok E, Slipi",A
SDN Kemanggisan 08 Pg.,Jl. Anggrek Garuda No. 17,A
SDN Kemanggisan 10 Pg.,Jl. Anggrek Rosliana VII,A
SDN Kemanggisan 12 Pg.,Jl. Anggrek Rosliana VII,A
SDN Kemanggisan 13 Pg.,Jl. Anggrek Rosliana VII,A
SDN Kemanggisan 14 Pg.,Jl. Kemanggisan Ilir II No. 9,A
SDN Kemayoran 01 Pg.,Jl. Kepu Dalam Gg. X,A
SDN Kemayoran 02 Pt.,Jl. Kepu Dalam Gg. X,A
SDN Kemayoran 03 Pg.,Jl. Kepu Dalam Gg. X,A
SDN Kemayoran 08 Pt.,Jl. Kepu Dalam Gg. X,A
SDN Kemayoran 16 Pt.,Jl. Kepu Dalam Gg. X,A
SDN Kemayoran 17 Pg.,Jl. Kepu Dalam Gg. X,A
SDN Kembangan Selatan 01 Pg.,Jl. Raya Kembangan RT005/RW01,A
SDN Kembangan Selatan 02 Pg.,Jl. Raya Kembangan,A
SDN Kembangan Selatan 03 Pg.,Jl. Raya Kembangan,A
SDN Kembangan Selatan 04 Pt.,Jl. Raya Kembangan,A
SDN Kembangan Utara 01 Pg.,Jl. Raya Kembangan Utara No. 83,A
SDN Kembangan Utara 02 Pt.,Jl. Raya Kembangan Utara No. 83,A
SDN Kembangan Utara 04 Pg.,Jl. Raya Kembangan,A
SDN Kembangan Utara 05 Pg.,Jl. Kembangan Baru,A
SDN Kembangan Utara 06 Pg.,Jl. Kp. Baru,A
SDN Kembangan Utara 08 Pt.,Jl. Kampung Baru,A
SDN Kembangan Utara 09 Pg.,Jl. Basmol Raya,A
SDN Kembangan Utara 10 Pg.,Jl. Kp. Basmol Kembangan,A
SDN Kenari 01 Pg.,Jl. Kramat IV No. 25,A
SDN Kenari 03 Pg.,Jl. Kramat IV No. 25,A
SDN Kenari 07 Pg.,Jl. Salemba Raya No. 18,A
SDN Kenari 08 Pg.,Jl. Salemba Raya No. 18,A
SDN Kenari 10 Pg.,Jl. Salemba Raya No. 18,A
SDN Klender 01 Pg.,Jl. Pertanian,A
SDN Klender 03 Pg.,Jl. Raden Inten II Buaran,A
SDN Klender 04 Pg.,Jl. Duren Sawit Barat III A,A
SDN Klender 06 Pg.,Jl. Pertanian Timur,A
SDN Klender 07 Pg.,Jl. Pertanian Timur,A
SDN Klender 08 Pt.,Jl. Duren Sawit Barat III A,A
SDN Klender 12 Pg.,Jl. Pertanian Utara RT004/RW01,A
SDN Klender 13 Pg.,Jl. Bulak Timur I No. 9,A
SDN Klender 15 Pg.,Jl. Dermaga Baru I,A
SDN Klender 16 Pg.,Jl. Dermaga Baru,A
SDN Klender 21 Pg.,Jl. Bulak Timur I No. 9,A
SDN Klender 22 Pg.,Jl. Buaran II No. 49,A
SDN Kota Bambu 01 Pg.,Komp. PJKA Pondok Bandung,A
SDN Kota Bambu 02 Pt.,Komp. PJKA Pondok Bandung,A
SDN Kota Bambu 04 Pt.,Jl. K.S. Tubun I No. 14,A
SDN Kota Bambu 05 Pg.,Jl. K.S. Tubun I No. 14,A
SDN Kota Bambu 06 Pt.,Jl. K.S. Tubun I No. 14,A
SDN Kramat 05 Pg.,Jl. Kembang Sepatu No. 61,A
SDN Kramat 06 Pg.,Jl. Kramat Sentiong No. 48,A
SDN Kramat 07 Pt.,Jl. Kramat Sentiong No. 48,A
SDN Kramat 08 Pg.,Jl. Kramat Sentiong No. 3,A
SDN Kramat 09 Pt.,Jl. Kramat Sentiong No. 3,A
SDN Kramat Jati 01 Pg.,Jl. Mesjid Al Amin,A
SDN Kramat Jati 05 Pg.,Jl. Mesjid Al Amin,A
SDN Kramat Jati 07 Pg.,Jl. RS Polri Sukanto,A
SDN Kramat Jati 11 Pg.,Jl. Nusa I,A
SDN Kramat Jati 12 Pg.,Jl. Nusa I,A
SDN Kramat Jati 13 Pg.,Jl. RS Polri Sukanto,A
SDN Kramat Jati 19 Pg.,Jl. BB Pasar Hek RT013/RW011,A
SDN Kramat Jati 24 Pg.,Jl. Kerja Bakti,A
SDN Kramat Jati 25 Pg.,Jl. Dato Tonggara,A
SDN Kramat Jati 27 Pg.,Jl. Kerja Bakti,A
SDN Kramat Pela 01 Pg.,Jl. Sungai Sambas II,A
SDN Kramat Pela 07 Pg.,Jl. Gandaria Tengah II Blok D No. 1,A
SDN Kramat Pela 09 Pg.,Jl. Gandaria Tengah V,A
SDN Kramat Pela 11 Pg.,Jl. Gandaria Tengah II,A
SDN Kramat Pela 13 Pg.,Jl. Gandaria Tengah V,A
SDN Kramat Pela 15 Pg.,Jl. Gandaria Tengah V,A
SDN Krukut 03 Pg.,Jl. K.H. Zainal Arifin No. 4,A
SDN Kuningan Barat 05 Pg.,Jl. PLN Kuningan Barat,A
SDN Kuningan Timur 01 Pg.,Jl. KH. Mugni Gg. SD,A
SDN Kwitang 01 Pg.,Jl. Kramat III Gg. Listrik I,A
SDN Lagoa 05 Pg.,Jl. Menteng No. 2-4,A
SDN Lagoa 11 Pg.,Jl. Lagoa Terusan Gg. IV D-1 No. 1,A
SDN Lebak Bulus 01 Pg.,Jl . Gunung Balong,A
SDN Lebak Bulus 02 Pg.,Jl. Pertanian Raya No. 59,A
SDN Lebak Bulus 03 Pg.,Jl. Pertanian III No. 58,A
SDN Lebak Bulus 04 Pg.,Jl. Puskesmas,A
SDN Lebak Bulus 05 Pg.,Jl. Puskesmas,A
SDN Lebak Bulus 06 Pg.,Jl. Gunung Balong,A
SDN Lebak Bulus 07 Pg.,Jl. Gunung Balong,A
SDN Lenteng Agung 01 Pg.,Jl. Lontar RT004/RW03 No. 37,A
SDN Lenteng Agung 03 Pg.,Jl. Lontar Lenteng Agung No. 38,A
SDN Lenteng Agung 04 Pt.,Jl. Lontar No. 38,A
SDN Lenteng Agung 05 Pg.,Jl. Agung Raya II,A
SDN Lenteng Agung 07 Pg.,Jl. Raya Depok Gang Subur,A
SDN Lenteng Agung 08 Pt.,Jl. Raya Depok Gang Subur RT009/RW08,A
SDN Lenteng Agung 10 Pg.,Jl. Joe,A
SDN Lenteng Agung 11 Pg.,Jl. Waspada II,A
SDN Lubang Buaya 01 Pg.,Jl. Yusufiah,A
SDN Lubang Buaya 02 Pt.,Jl. Yusufiah RT010/RW01,A
SDN Lubang Buaya 03 Pg.,Jl. Rawa Binong RT004/RW06,A
SDN Lubang Buaya 04 Pg.,Jl. Monumen Pancasila Sakti No. 12,A
SDN Lubang Buaya 05 Pg.,Jl. Yusufiah RT010/RW01,A
SDN Lubang Buaya 06 Pg.,Jl. Kramat IV,A
SDN Lubang Buaya 12 Pg.,Jl. Albaidho II,A
SDN Makasar 01 Pg.,Jl. Kerja Bakti,A
SDN Makasar 02 Pt.,Jl. Kerja Bakti,A
SDN Makasar 03 Pg.,Jl. Kerja Bakti,A
SDN Makasar 04 Pt.,Jl. Kerja Bakti,A
SDN Makasar 06 Pg.,Jl. Pusdiklat Depnaker No. 1,A
SDN Makasar 07 Pg.,Jl. Pusdiklat Depnaker,A
SDN Malaka Jaya 01 Pg.,Jl. Bunga Rampai Raya,A
SDN Malaka Jaya 03 Pt.,Jl. Bunga Rampai Raya,A
SDN Malaka Jaya 04 Pg.,Jl. Mawar Merah VI,A
SDN Malaka Jaya 05 Pg.,Jl. Mawar Merah VI,A
SDN Malaka Jaya 07 Pg.,Jl. Mawar Merah VI,A
SDN Malaka Jaya 08 Pg.,Jl. Mawar Merah VII No. 45,A
SDN Malaka Jaya 09 Pg.,Jl. Raya Bunga Rampai,A
SDN Malaka Jaya 10 Pg.,Jl. Nusa Indah III,A
SDN Malaka Jaya 12 Pg.,Jl. Nusa Indah IV No. 40-41,A
SDN Malaka Jaya 19 Pg.,Jl. Raya Bunga Rampai,A
SDN Malaka Sari 01 Pg.,Jl. Malaka III,A
SDN Malaka Sari 02 Pg.,Jl. Malaka II,A
SDN Malaka Sari 03 Pg.,Jl. Delima II No. 47,A
SDN Malaka Sari 04 Pg.,Jl. Malaka III,A
SDN Malaka Sari 05 Pg.,"Perumnas Klender, Jl. Delima II No. 39",A
SDN Malaka Sari 14 Pg.,Jl. Malaka III RT08/RW06,A
SDN Mampang Prapatan 01 Pg.,Jl. Tegal Parang Utara III,A
SDN Mampang Prapatan 02 Pg.,Jl. Mampang Prapatan IV No. 5,A
SDN Mampang Prapatan 05 Pg.,Jl. K. Tendean Gg. Kamboja No. 44,A
SDN Mangga Besar 01 Pg.,Jl. Sekolah Tangki No. 141,A
SDN Mangga Besar 03 Pg.,Jl. Sekolah Tangki No. 141,A
SDN Mangga Besar 11 Pg.,Jl. Gedong No. 16,A
SDN Mangga Besar 15 Pg.,Jl. Blustru No. 5,A
SDN Manggarai 01 Pg.,Jl. Manggarai Utara I No. 6,A
SDN Manggarai 05 Pg.,Jl. Swadaya I RT013/RW09,A
SDN Manggarai 07 Pg.,Jl. Swadaya I,A
SDN Manggarai 09 Pg.,Jl. Manggarai Selatan II,A
SDN Manggarai 11 Pg.,Jl. Manggarai Selatan II,A
SDN Manggarai 15 Pg.,Jl. Manggarai Selatan II,A
SDN Maphar 01 Pg.,Jl. Kebun Jeruk VII No. 5,A
SDN Maphar 02 Pg.,Jl. Kebun Jeruk VII No. 5,A
SDN Marunda 01 Pg.,Jl. Marunda Baru No. 16,A
SDN Menteng 01 Pg.,Jl. Besuki No. 4,A
SDN Menteng Atas 01 Pg.,Jl. Dr. Saharjo No. 121,A
SDN Menteng Atas 05 Pg.,Jl. Muria No. 43,A
SDN Menteng Atas 14 Pg.,Jl. Minangkabau Dalam,A
SDN Menteng Atas 21 Pg.,Jl. Menteng Pulo Ujung,A
SDN Menteng Dalam 01 Pg.,"Jl. Menteng Pulo II, Casablanca",A
SDN Menteng Dalam 02 Pg.,"Jl. Menteng Pulo II, Casablanca",A
SDN Menteng Dalam 05 Pg.,Jl. Prof. Soepomo SH,A
SDN Menteng Dalam 07 Pg.,Jl. Flamboyan I,A
SDN Merdeka Timur 01 Pg,Jl. Medan Merdeka Timur No. 14,A
SDN Meruya Selatan 01 Pg.,Jl. H. Juhri,A
SDN Meruya Selatan 02 Pt.,Jl. H. Djuhri RT003/RW02,A
SDN Meruya Selatan 06 Pg.,Jl. Lap. Jabeg Mega Kebon Jeruk No. 112,A
SDN Meruya Selatan 08 Pt.,Jl. H. Saaba RT002/RW02,A
SDN Meruya Utara 02 Pg.,Jl. Raya Meruya Selatan,A
SDN Meruya Utara 03 Pg.,Jl. Sanggrahan,A
SDN Meruya Utara 05 Pg.,Jl. Meruya Utara,A
SDN Meruya Utara 13 Pg.,Jl. Taman Aries Blok F No. 12,A
SDN Meruya Utara 15 Pt.,Jl. Aries Utama Blok F No. 12,A
SDN Munjul 01 Pg.,Jl. Dalang,A
SDN Munjul 02 Pg.,Jl. Dalang,A
SDN P Mangga Dua Selatan 05 Pg.,"Jl. Mangga Besar XIIIA, Mangga Dua Selatan",A
SDN Pademangan Barat 01 Pg.,Jl. Ampera III Gn. Sahari,A
SDN Pademangan Barat 03 Pg.,Jl. Hidup Baru I No. 101,A
SDN Pademangan Barat 04 Pt.,Jl. Hidup Baru I No. 101,A
SDN Pademangan Barat 05 Pg.,Jl. Satria 12 C,A
SDN Pademangan Barat 09 Pg.,Jl. Budi Mulia,A
SDN Pademangan Barat 11 Pg.,Jl. Budimulia,A
SDN Pademangan Barat 13 Pt.,Jl. Hidup Baru I No. 101,A
SDN Pademangan Timur 01 Pg.,Jl. Pademangan II Gg. 22,A
SDN Pademangan Timur 02 Pt.,Jl. Pademangan II Gg. 22 No. 34,A
SDN Pademangan Timur 03 Pg.,Jl. Pademangan VI Gg. 34,A
SDN Pademangan Timur 06 Pg.,Jl. Pademangan VI Gg. 36,A
SDN Pademangan Timur 09 Pg.,Jl. Pademangan Timur VI No. 78,A
SDN Pademangan Timur 10 Pt.,Jl. Pademangan VI RT04/RW10 No. 78,A
