nama_sekolah,alamat,akreditasi
SDN Cakung Timur 09 Pg.,Jl. Kayu Tinggi,A
SDN Cakung Timur 10 Pg.,Jl. Kayu Tinggi,A
SDN Cawang 01 Pg.,Jl. Dewi Sartika No. 200,A
SDN Cawang 03 Pg.,Jl. Taman Harapan,A
SDN Cawang 09 Pg.,Jl. Mesjid Bendungan III,A
SDN Cawang 10 Pg.,Jl. Mesjid Bendungan III,A
SDN Cawang 13 Pg.,Jl. Ja'ani Nasir,A
SDN Cawang 14 Pg.,Jl. Jaani Nasir,A
SDN Ceger 01 Pg.,Jl. SMP 222,A
SDN Ceger 02 Pg.,Jl. Masjid No. 10,A
SDN Cempaka Baru 01 Pg.,Jl. Cempaka Baru VII No. 45,A
SDN Cempaka Baru 02 Pg.,Jl. Cempaka Baru VII No. 45,A
SDN Cempaka Baru 06 Pt.,Jl. Sumur Batu Raya No. 4,A
SDN Cempaka Baru 09 Pg.,"Komp. Listrik, Jl. F No. 3",A
SDN Cempaka Baru 11 Pg.,Jl. Remaja II,A
SDN Cempaka Baru 13 Pg.,Jl. Remaja II No. 57,A
SDN Cempaka Putih Barat 01 Pg,Jl. Cempaka Putih Barat II Blok G,A
SDN Cempaka Putih Barat 03 Pg,Jl. Pangkalan Asem No. 14,A
SDN Cempaka Putih Barat 04 Pg.,Jl. Pangkalan Asem No. 14,A
SDN Cempaka Putih Barat 05 Pg.,Jl. Cempaka III No. 44,A
SDN Cempaka Putih Barat 09 Pg.,Jl. Percetakan Negara Raya No. 16,A
SDN Cempaka Putih Barat 11 Pg.,Jl. Cempaka Putih Barat II Blok G No. 07,A
SDN Cempaka Putih Barat 13 Pg.,Jl. Cempaka Putih Barat II Blok G,A
SDN Cempaka Putih Barat 15 Pg.,Jl. Cempaka Putih Barat XIX,A
SDN Cempaka Putih Barat 16 Pg.,Jl. Cempaka Putih Barat XIX,A
SDN Cempaka Putih Barat 20 Pg.,Jl. Pangkalan Asem Gg. II,A
SDN Cempaka Putih Barat 26 Pt.,Jl. Pangkalan Asem,A
SDN Cempaka Putih Timur 05 Pg.,Jl. Rawasari Barat I No. 1,A
SDN Cengkareng Barat 01 Pg.,Jl. Utama Raya No. 41,A
SDN Cengkareng Barat 02 Pt.,Jl. Utama Raya No. 41,A
SDN Cengkareng Barat 03 Pg.,Jl. Utama Raya No. 41,A
SDN Cengkareng Barat 05 Pg.,Jl. Utama Raya No. 41,A
SDN Cengkareng Barat 09 Pg.,Jl. Bambu Larangan RT003/RW05,A
SDN Cengkareng Barat 12 Pg.,Jl. Utama Raya No. 41,A
SDN Cengkareng Barat 13 Pg.,Jl. Jaya No. 25,A
SDN Cengkareng Barat 15 Pg.,Jl. Flamboyan Jaya VIII RT002/RW010,A
SDN Cengkareng Barat 16 Pg.,Jl. Flamboyan VI No. 2,A
SDN Cengkareng Barat 17 Pt.,Jl. Flamboyan VI,A
SDN Cengkareng Barat 18 Pg.,Jl. Cenderawasih X No. 7,A
SDN Cengkareng Barat 19 Pg.,Jl. Rawa Bengkel RT04/RW07,A
SDN Cengkareng Barat 20 Pt.,Jl. Jaya VIII,A
SDN Cengkareng Timur 01 Pg.,Jl. Daan Mogot Km. 14,A
SDN Cengkareng Timur 09 Pg.,Jl. Fajar Baru Utara No. 41,A
SDN Cengkareng Timur 11 Pt.,Jl. Fajar Baru Selatan,A
SDN Cengkareng Timur 14 Pg.,Jl. Bangun Nusa Raya,A
SDN Cengkareng Timur 15 Pg.,Jl . Bangun Nusa Raya,A
SDN Cengkareng Timur 17 Pg.,Jl. Angsana Raya No. 46 RT07/RW12,A
SDN Cengkareng Timur 18 Pg.,Jl. Angsana Raya,A
SDN Cengkareng Timur 19 Pt.,Jl. Angsana Raya,A
SDN Cengkareng Timur 21 Pg.,"Jl. Outer Ring Road Kayu Besar, Cengkareng Timur",A
